taxonID,locality,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source,occurrenceRemarks
2669035,Wallonia,BE,,native,native,,1871-10-01/2024-12-15,"Van Landuyt W, Brosens D, De Beer D (2025). Florabank2: a grid-based database on distribution of bryophytes in the northern part of Belgium (Flanders and the Brussels Capital region). Version 1.18. Research Institute for Nature and Forest (INBO). Occurrence dataset https://doi.org/10.15468/385t22",
2669035,Brussels,BE,,native,native,,1871-10-01/2024-12-15,"Van Landuyt W, Brosens D, De Beer D (2025). Florabank2: a grid-based database on distribution of bryophytes in the northern part of Belgium (Flanders and the Brussels Capital region). Version 1.18. Research Institute for Nature and Forest (INBO). Occurrence dataset https://doi.org/10.15468/385t22",
2669053,Belgium,BE,,native,native,,1876-09-09/2024-12-15,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669053,Flanders,BE,,native,native,,1876-09-09/2024-12-15,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669053,Wallonia,BE,,native,native,,1876-09-09/2024-12-15,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669060,Belgium,BE,,native,native,,1908-05-11/2024-12-14,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669060,Flanders,BE,,native,native,,1908-05-11/2024-12-14,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669060,Wallonia,BE,,native,native,,1908-05-11/2024-12-14,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669112,Belgium,BE,,native,native,,1868-06-01/2024-12-15,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669112,Flanders,BE,,native,native,,1868-06-01/2024-12-15,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669112,Wallonia,BE,,native,native,,1868-06-01/2024-12-15,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669113,Belgium,BE,,native,native,,1868-06-01/2025-03-02 14:15:06,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669113,Flanders,BE,,native,native,,1868-06-01/2025-03-02 14:15:06,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669113,Wallonia,BE,,native,native,,1868-06-01/2025-03-02 14:15:06,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669115,Belgium,BE,,native,native,,1881-07-23/2024-12-14,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669115,Flanders,BE,,native,native,,1881-07-23/2024-12-14,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669139,Belgium,BE,,native,native,,1886-08-01/2024-12-01 13:48,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669139,Flanders,BE,,native,native,,1886-08-01/2024-12-01 13:48,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669139,Wallonia,BE,,native,native,,1886-08-01/2024-12-01 13:48,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669200,Belgium,BE,,native,native,,1883-04-10/2019-07-13,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669200,Flanders,BE,,native,native,,1883-04-10/2019-07-13,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669208,Belgium,BE,,native,native,,1868-08-01/2024-06-17,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669208,Flanders,BE,,native,native,,1868-08-01/2024-06-17,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669208,Wallonia,BE,,native,native,,1868-08-01/2024-06-17,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669215,Belgium,BE,,native,native,,1965-06-05/1993-08-08,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669215,Wallonia,BE,,native,native,,1965-06-05/1993-08-08,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669222,Belgium,BE,,native,native,,1876-08-01/2023-09-21,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669222,Flanders,BE,,native,native,,1876-08-01/2023-09-21,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669222,Wallonia,BE,,native,native,,1876-08-01/2023-09-21,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669224,Belgium,BE,,native,native,,1813-01-01/1868-12-31/2025-03-16 13:26:04,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669224,Flanders,BE,,native,native,,1813-01-01/1868-12-31/2025-03-16 13:26:04,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669224,Wallonia,BE,,native,native,,1813-01-01/1868-12-31/2025-03-16 13:26:04,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669235,Belgium,BE,,native,native,,1884-06-03/2024-12-15,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669235,Flanders,BE,,native,native,,1884-06-03/2024-12-15,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669235,Wallonia,BE,,native,native,,1884-06-03/2024-12-15,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669235,Brussels,BE,,native,native,,1884-06-03/2024-12-15,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669241,Belgium,BE,,native,native,,1905-02-18/2024-06-17,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669241,Flanders,BE,,native,native,,1905-02-18/2024-06-17,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669241,Wallonia,BE,,native,native,,1905-02-18/2024-06-17,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669251,Belgium,BE,,native,native,,1868-06-01/2024-12-15,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669251,Flanders,BE,,native,native,,1868-06-01/2024-12-15,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2669251,Wallonia,BE,,native,native,,1868-06-01/2024-12-15,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670130,Belgium,BE,,native,native,,1876-05-01/2024-03-17,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670130,Wallonia,BE,,native,native,,1876-05-01/2024-03-17,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670131,Belgium,BE,,native,native,,1984-07-16/2024-06-13,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670131,Wallonia,BE,,native,native,,1984-07-16/2024-06-13,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670132,Belgium,BE,,native,native,,1898-02-13/2010-08-24,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670132,Flanders,BE,,native,native,,1898-02-13/2010-08-24,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670132,Wallonia,BE,,native,native,,1898-02-13/2010-08-24,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670136,Belgium,BE,,native,native,,1873-06-30/2023-03-17,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670136,Wallonia,BE,,native,native,,1873-06-30/2023-03-17,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670139,Belgium,BE,,native,native,,1986-09-27/2012-03-25,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670139,Wallonia,BE,,native,native,,1986-09-27/2012-03-25,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670498,Belgium,BE,,native,native,,1851-09-01/1851-09-30/2025-01-29,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670498,Flanders,BE,,native,native,,1851-09-01/1851-09-30/2025-01-29,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670498,Wallonia,BE,,native,native,,1851-09-01/1851-09-30/2025-01-29,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670498,Brussels,BE,,native,native,,1851-09-01/1851-09-30/2025-01-29,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670505,Belgium,BE,,native,native,,1956-08-04/2023-10-21,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670505,Wallonia,BE,,native,native,,1956-08-04/2023-10-21,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670744,Belgium,BE,,native,native,,1905-01-06/1833,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670744,Wallonia,BE,,native,native,,1905-01-06/1833,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670762,Belgium,BE,,native,native,,1874-05-01/2024-03-14,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670762,Flanders,BE,,native,native,,1874-05-01/2024-03-14,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2670762,Wallonia,BE,,native,native,,1874-05-01/2024-03-14,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
2671124,Belgium,BE,,native,native,,1983-08-17/2024-12-01/2024-12-20,"Sotiaux, A., Stieperaere, H., & Vanderpoorten, A. (2007). Bryophyte checklist and european red list of the Brussels-Capital region, Flanders and Wallonia (Belgium). Belgian Journal of Botany, 140(2), 174-196.",
